"cod","id","ano","econo_bov","AtvTotal","AtvCirc","PasCirc","PatLiq","CxOper","RecLiq","VrMerc","LAIR","LucroLiquido","LucroBruto","LiqBolsa"
"CEBR5","1445","2015","Utilidade pública",3344728,1556221,1375506,586636,-23976,2427203,221983,148212,64666,453947,4e-05
"CEBR5","1445","2016","Utilidade pública",3156892,1206344,1293335,620362,98485,2114554,383128,99931,114607,278124,3e-05
"CEBR5","1445","2017","Utilidade pública",3637085,1695912,1625803,632979,18011,2720486,365727,302998,152082,505499,7e-05
"CEED4","2064","2015","Utilidade pública",3315964,875873,1351208,-483596,193435,3376936,193615,-555010,-514244,-204170,0
"CEED4","2064","2016","Utilidade pública",3460564,840916,1881665,-1236010,601860,2764254,285485,-567802,-527179,-287591,0
"CEED4","2064","2017","Utilidade pública",3822035,1213797,2225886,-1240478,-12161,3077322,290326,-333997,-87529,-68626,2e-05
"EEEL3","320","2015","Utilidade pública",3036365,502924,437586,1481954,617589,661254,234568,73272,84947,162713,3e-05
"EEEL3","320","2016","Utilidade pública",4180738,404517,350242,2181733,154411,1940657,796702,1214104,923782,1403595,5e-05
"EEEL3","320","2017","Utilidade pública",4726199,1072322,836816,2324299,509989,1017226,1597323,388049,395083,181407,3e-05
"CLSC3","246","2015","Utilidade pública",7988928,3589141,3342708,2224728,643986,6864695,696020,174050,130674,487234,1e-05
"CLSC3","246","2016","Utilidade pública",8628715,3765539,4072723,2075843,750149,6108740,612893,-26553,-9817,524596,1e-05
"CLSC3","246","2017","Utilidade pública",9060252,3872617,4486667,1842238,321469,7091235,1090302,156156,66485,879556,1e-05
"CELP3","1830","2015","Utilidade pública",6856209,2560150,2209875,1844970,556618,4187313,4394995,597229,520226,866483,0.00071
"CELP3","1830","2016","Utilidade pública",7791993,3035484,2084922,2118012,140703,4513037,5081087,421479,351556,1085403,0.00059
"CELP3","1830","2017","Utilidade pública",8596199,3147581,2028985,2582714,531181,5150974,3977537,522727,613531,1414483,0.00061
"CEPE5","1436","2015","Utilidade pública",5112040,1524615,1745424,1655970,476852,4509558,1461441,42187,19096,684904,7e-05
"CEPE5","1436","2016","Utilidade pública",5525143,1334439,1919138,1574332,345501,4726776,1380322,13486,-333,684681,3e-05
"CEPE5","1436","2017","Utilidade pública",6676000,1815494,2164656,1537356,-87044,5318409,1155748,59343,56395,710852,8e-05
"RANI3","242","2015","Materiais básicos",1658591,377185,380413,396615,89909,758758,494675,962,495,221871,0.00019
"RANI3","242","2016","Materiais básicos",1679951,444287,445377,445191,40184,776795,394904,-35112,-10782,210767,0.00019
"RANI3","242","2017","Materiais básicos",1501839,345461,301759,340713,77919,859169,326522,-100571,-108173,225897,0.00026
"ENMA3B","1660","2015","Utilidade pública",5119339,2274153,965709,1948274,648595,2738793,2950385,443114,363803,808678,0.00038
"ENMA3B","1660","2016","Utilidade pública",5628193,2337609,1281632,2176199,346831,3064644,4063552,489413,399794,915743,0.00024
"ENMA3B","1660","2017","Utilidade pública",6553340,2877884,1452571,2447799,439940,3370836,4104597,591559,489617,1097200,0.00021
"CMIG4","245","2015","Utilidade pública",40857089,9376738,13074072,12983698,3007236,21292211,7643700,3361586,2468500,5509013,0.99361
"CMIG4","245","2016","Utilidade pública",42035853,8285470,11447460,12930281,1213383,18772656,9772877,367927,334334,4343826,113757
"CMIG4","245","2017","Utilidade pública",42239589,8537303,8662284,14325986,579575,21711690,8450839,1645856,1000954,4224570,117678
"CESP6","257","2015","Utilidade pública",11986763,1022615,998224,7310892,1230286,2950982,4036226,90808,-61357,1530375,0.45547
"CESP6","257","2016","Utilidade pública",11416449,833534,852390,7161537,585229,1668590,4353168,417431,305095,883550,0.44992
"CESP6","257","2017","Utilidade pública",11131537,677261,741110,7114565,241778,1476615,4145474,-67004,-168528,291676,0.37507
"HGTX3","1476","2015","Consumo cíclico",1472492,965638,262072,1173964,232654,1588889,2446954,255175,281170,627554,0.36058
"HGTX3","1476","2016","Consumo cíclico",1528691,1007976,275152,1209407,287746,1475137,2432884,197600,199417,582026,0.16587
"HGTX3","1476","2017","Consumo cíclico",1538160,1019690,286346,1232912,250999,1562321,4146443,278857,263781,690048,0.29624
"CIEL3","2173","2015","Financeiro e outros",29977801,12675854,8063954,6520677,2842956,11122314,63210697,5434831,3511436,5811630,215230
"CIEL3","2173","2016","Financeiro e outros",30544070,13743400,7852780,9243401,5129403,12300784,62906552,6020776,4005450,6306025,207320
"CIEL3","2173","2017","Financeiro e outros",88347181,71933612,62597366,11701352,5520233,11600341,63837354,6085809,4056078,5826620,192330
"CEEB3","1452","2015","Utilidade pública",10695862,2555558,2660525,2988461,1149677,6718078,4883193,443746,336103,1423144,8e-05
"CEEB3","1452","2016","Utilidade pública",10529884,2161174,3031962,2955708,214536,7067284,4417771,272483,259677,1358624,7e-05
"CEEB3","1452","2017","Utilidade pública",12553676,3014431,3927324,3165688,326661,8138430,4875839,212098,177044,1196444,8e-05
"COCE5","1486","2015","Utilidade pública",4609720,1566458,1357339,2005047,474294,4130164,2687908,440351,363070,690016,0.01156
"COCE5","1486","2016","Utilidade pública",4923865,1608748,1507204,2313456,1061594,4097446,3891986,486138,393057,760354,0.00975
"COCE5","1486","2017","Utilidade pública",5700068,1823546,1932620,2582914,746801,4594419,3969363,542481,435779,744949,0.00718
"CGAS5","1563","2015","Utilidade pública",8868031,2789980,2047974,3181402,1933112,6597017,4658057,988658,698852,2016813,0.01697
"CGAS5","1563","2016","Utilidade pública",8668792,3012836,1985145,2590749,2087724,5657246,5307837,1312517,901099,2483112,0.04118
"CGAS5","1563","2017","Utilidade pública",8666565,3301482,3126675,2017083,1637103,5537857,7291691,917545,640121,2045482,0.05202
"CSMG3","1944","2015","Utilidade pública",10930739,1513416,1086708,5646850,733481,3834469,1849569,-27980,-11592,1136258,0.09119
"CSMG3","1944","2016","Utilidade pública",10947481,1724671,1131451,5939687,780436,4032875,4613381,600499,434161,1548477,0.16307
"CSMG3","1944","2017","Utilidade pública",10809992,1703307,1256297,6244343,1014711,4326401,5484236,758700,560438,1835406,0.34803
"CPLE6","1431","2015","Utilidade pública",28947657,6933397,4789118,14245728,1320728,14728131,5446068,1797780,1192738,2928815,0.37929
"CPLE6","1431","2016","Utilidade pública",30434209,4402990,5656036,14864165,1476818,13101753,6286354,1478358,958650,2867638,0.35544
"CPLE6","1431","2017","Utilidade pública",33162377,5701834,6109914,15207842,989206,14024573,6047456,1392941,1033626,3358683,0.34509
"CSAN3","1983","2015","Consumo não cíclico",30382191,5165823,3345053,8846188,1863183,8451901,10227592,901321,666584,2528580,0.60091
